fips_code,jurisdiction_name,state_abbr,state_full,region,b1a,b1b,b1c,b5a,b5b,b5c,b11a,b11b,b24a,b24b,b24c,uocava_return_rate,uocava_rejection_rate
1706700000,HANCOCK COUNTY,IL,Illinois,Midwest,18,12,6,18,12,6,17,11,0,0,0,94.44,0
1706900000,HARDIN COUNTY,IL,Illinois,Midwest,3,0,3,3,0,3,2,0,0,0,0,66.67,0
1707100000,HENDERSON COUNTY,IL,Illinois,Midwest,3,3,0,3,3,0,3,3,0,0,0,100,0
1707300000,HENRY COUNTY,IL,Illinois,Midwest,61,27,34,61,27,34,54,24,0,0,0,88.52,0
1707500000,IROQUOIS COUNTY,IL,Illinois,Midwest,30,13,17,30,13,17,24,9,0,0,0,80,0
1707700000,JACKSON COUNTY,IL,Illinois,Midwest,93,15,78,93,15,78,70,10,0,0,0,75.27,0
1707900000,JASPER COUNTY,IL,Illinois,Midwest,15,10,5,7,4,3,5,3,0,0,0,71.43,0
1708100000,JEFFERSON COUNTY,IL,Illinois,Midwest,30,10,20,30,10,20,25,6,0,0,0,83.33,0
1708300000,JERSEY COUNTY,IL,Illinois,Midwest,19,9,10,19,9,10,15,5,1,1,0,78.95,6.67
1708700000,JOHNSON COUNTY,IL,Illinois,Midwest,6,0,6,6,0,6,5,0,0,0,0,83.33,0
1708900000,KANE COUNTY,IL,Illinois,Midwest,824,165,659,824,164,660,639,131,0,0,0,77.55,0
1709100000,KANKAKEE COUNTY,IL,Illinois,Midwest,85,25,60,85,25,60,65,16,0,0,0,76.47,0
1709300000,KENDALL COUNTY,IL,Illinois,Midwest,142,44,98,142,44,98,100,26,3,2,1,70.42,3
1709500000,KNOX COUNTY,IL,Illinois,Midwest,16,13,3,16,13,3,9,7,0,0,0,56.25,0
1709700000,LAKE COUNTY,IL,Illinois,Midwest,1996,245,1751,1996,245,1751,1527,195,32,4,28,76.5,2.1
